nama_bahan,porsi_standar,energi_kcal,protein_g,lemak_g,karbohidrat_g,zat_besi_mg,kalsium_mg,kategori,catatan_ibu_hamil
Daging Sapi Semur Olahan Spesial,1 porsi spesial,182.0,16.9,8.5,6.5,2.3,19.5,Lauk Pauk,Kaya zat besi & protein
Daging Sapi Semur Porsi Cemilan,1 potong kecil,42.0,3.9,1.9,1.5,0.5,4.5,Lauk Pauk,Kaya zat besi & protein
Empal Daging Sapi,1 potong (50g),165,13.5,10.0,2.0,1.7,16,Lauk Pauk,Protein tinggi
Empal Daging Sapi (Porsi Kecil),1/2 porsi,82.5,6.8,5.0,1.0,0.8,8.0,Lauk Pauk,Protein tinggi
Empal Daging Sapi (Porsi Besar),1.5 porsi,247.5,20.2,15.0,3.0,2.5,24.0,Lauk Pauk,Protein tinggi
Empal Daging Sapi (1 Piring / Mangkok),1 piring,198.0,16.2,12.0,2.4,2.0,19.2,Lauk Pauk,Protein tinggi
Empal Daging Sapi Olahan Spesial,1 porsi spesial,214.5,17.6,13.0,2.6,2.2,20.8,Lauk Pauk,Protein tinggi
Empal Daging Sapi Porsi Cemilan,1 potong kecil,49.5,4.0,3.0,0.6,0.5,4.8,Lauk Pauk,Protein tinggi
Soto Daging Sapi,1 mangkuk (200g),220,15.0,14.0,8.0,2.0,35,Lauk Pauk,"Hangat, protein & cairan tinggi"
Soto Daging Sapi (Porsi Kecil),1/2 porsi,110.0,7.5,7.0,4.0,1.0,17.5,Lauk Pauk,"Hangat, protein & cairan tinggi"
Soto Daging Sapi (Porsi Besar),1.5 porsi,330.0,22.5,21.0,12.0,3.0,52.5,Lauk Pauk,"Hangat, protein & cairan tinggi"
Soto Daging Sapi (1 Piring / Mangkok),1 piring,264.0,18.0,16.8,9.6,2.4,42.0,Lauk Pauk,"Hangat, protein & cairan tinggi"
Soto Daging Sapi Olahan Spesial,1 porsi spesial,286.0,19.5,18.2,10.4,2.6,45.5,Lauk Pauk,"Hangat, protein & cairan tinggi"
Soto Daging Sapi Porsi Cemilan,1 potong kecil,66.0,4.5,4.2,2.4,0.6,10.5,Lauk Pauk,"Hangat, protein & cairan tinggi"
Ayam Goreng Dada,1 potong (80g),190,22.0,9.5,1.0,1.1,15,Lauk Pauk,Protein pembentuk jaringan janin
Ayam Goreng Dada (Porsi Kecil),1/2 porsi,95.0,11.0,4.8,0.5,0.6,7.5,Lauk Pauk,Protein pembentuk jaringan janin
Ayam Goreng Dada (Porsi Besar),1.5 porsi,285.0,33.0,14.2,1.5,1.7,22.5,Lauk Pauk,Protein pembentuk jaringan janin
Ayam Goreng Dada (1 Piring / Mangkok),1 piring,228.0,26.4,11.4,1.2,1.3,18.0,Lauk Pauk,Protein pembentuk jaringan janin
Ayam Goreng Dada Olahan Spesial,1 porsi spesial,247.0,28.6,12.3,1.3,1.4,19.5,Lauk Pauk,Protein pembentuk jaringan janin
Ayam Goreng Dada Porsi Cemilan,1 potong kecil,57.0,6.6,2.9,0.3,0.3,4.5,Lauk Pauk,Protein pembentuk jaringan janin
Ayam Ungkep Rebus,1 potong (80g),150,21.0,5.0,0.5,1.0,14,Lauk Pauk,"Rendah lemak, protein murni"
Ayam Ungkep Rebus (Porsi Kecil),1/2 porsi,75.0,10.5,2.5,0.2,0.5,7.0,Lauk Pauk,"Rendah lemak, protein murni"
Ayam Ungkep Rebus (Porsi Besar),1.5 porsi,225.0,31.5,7.5,0.8,1.5,21.0,Lauk Pauk,"Rendah lemak, protein murni"
Ayam Ungkep Rebus (1 Piring / Mangkok),1 piring,180.0,25.2,6.0,0.6,1.2,16.8,Lauk Pauk,"Rendah lemak, protein murni"
Ayam Ungkep Rebus Olahan Spesial,1 porsi spesial,195.0,27.3,6.5,0.7,1.3,18.2,Lauk Pauk,"Rendah lemak, protein murni"
Ayam Ungkep Rebus Porsi Cemilan,1 potong kecil,45.0,6.3,1.5,0.1,0.3,4.2,Lauk Pauk,"Rendah lemak, protein murni"
Ayam Bakar kecap,1 potong (80g),170,21.5,7.0,4.0,1.1,16,Lauk Pauk,Pastikan matang sempurna
Ayam Bakar kecap (Porsi Kecil),1/2 porsi,85.0,10.8,3.5,2.0,0.6,8.0,Lauk Pauk,Pastikan matang sempurna
Ayam Bakar kecap (Porsi Besar),1.5 porsi,255.0,32.2,10.5,6.0,1.7,24.0,Lauk Pauk,Pastikan matang sempurna
Ayam Bakar kecap (1 Piring / Mangkok),1 piring,204.0,25.8,8.4,4.8,1.3,19.2,Lauk Pauk,Pastikan matang sempurna
Ayam Bakar kecap Olahan Spesial,1 porsi spesial,221.0,27.9,9.1,5.2,1.4,20.8,Lauk Pauk,Pastikan matang sempurna
Ayam Bakar kecap Porsi Cemilan,1 potong kecil,51.0,6.5,2.1,1.2,0.3,4.8,Lauk Pauk,Pastikan matang sempurna
Opor Ayam,1 potong (80g),210,19.0,13.0,3.0,1.2,22,Lauk Pauk,Batasi konsumsi kuah santan berlebih
Opor Ayam (Porsi Kecil),1/2 porsi,105.0,9.5,6.5,1.5,0.6,11.0,Lauk Pauk,Batasi konsumsi kuah santan berlebih
Opor Ayam (Porsi Besar),1.5 porsi,315.0,28.5,19.5,4.5,1.8,33.0,Lauk Pauk,Batasi konsumsi kuah santan berlebih
Opor Ayam (1 Piring / Mangkok),1 piring,252.0,22.8,15.6,3.6,1.4,26.4,Lauk Pauk,Batasi konsumsi kuah santan berlebih
Opor Ayam Olahan Spesial,1 porsi spesial,273.0,24.7,16.9,3.9,1.6,28.6,Lauk Pauk,Batasi konsumsi kuah santan berlebih
Opor Ayam Porsi Cemilan,1 potong kecil,63.0,5.7,3.9,0.9,0.4,6.6,Lauk Pauk,Batasi konsumsi kuah santan berlebih
Telur Ayam Rebus,1 butir (50g),77,6.3,5.3,0.6,1.2,25,Lauk Pauk,Kaya Kolin untuk perkembangan otak janin. Wajib matang!
Telur Ayam Rebus (Porsi Kecil),1/2 porsi,38.5,3.1,2.6,0.3,0.6,12.5,Lauk Pauk,Kaya Kolin untuk perkembangan otak janin. Wajib matang!
Telur Ayam Rebus (Porsi Besar),1.5 porsi,115.5,9.4,7.9,0.9,1.8,37.5,Lauk Pauk,Kaya Kolin untuk perkembangan otak janin. Wajib matang!
Telur Ayam Rebus (1 Piring / Mangkok),1 piring,92.4,7.6,6.4,0.7,1.4,30.0,Lauk Pauk,Kaya Kolin untuk perkembangan otak janin. Wajib matang!
Telur Ayam Rebus Olahan Spesial,1 porsi spesial,100.1,8.2,6.9,0.8,1.6,32.5,Lauk Pauk,Kaya Kolin untuk perkembangan otak janin. Wajib matang!
Telur Ayam Rebus Porsi Cemilan,1 potong kecil,23.1,1.9,1.6,0.2,0.4,7.5,Lauk Pauk,Kaya Kolin untuk perkembangan otak janin. Wajib matang!
Telur Dadar Jawa,1 butir (55g),110,6.5,8.8,0.4,1.3,27,Lauk Pauk,Sumber protein praktis
Telur Dadar Jawa (Porsi Kecil),1/2 porsi,55.0,3.2,4.4,0.2,0.7,13.5,Lauk Pauk,Sumber protein praktis
Telur Dadar Jawa (Porsi Besar),1.5 porsi,165.0,9.8,13.2,0.6,2.0,40.5,Lauk Pauk,Sumber protein praktis
Telur Dadar Jawa (1 Piring / Mangkok),1 piring,132.0,7.8,10.6,0.5,1.6,32.4,Lauk Pauk,Sumber protein praktis
Telur Dadar Jawa Olahan Spesial,1 porsi spesial,143.0,8.5,11.4,0.5,1.7,35.1,Lauk Pauk,Sumber protein praktis
Telur Dadar Jawa Porsi Cemilan,1 potong kecil,33.0,1.9,2.6,0.1,0.4,8.1,Lauk Pauk,Sumber protein praktis
Telur Balado,1 butir (60g),125,6.8,9.5,2.5,1.4,28,Lauk Pauk,"Protein baik, sesuaikan tingkat pedas"
Telur Balado (Porsi Kecil),1/2 porsi,62.5,3.4,4.8,1.2,0.7,14.0,Lauk Pauk,"Protein baik, sesuaikan tingkat pedas"
Telur Balado (Porsi Besar),1.5 porsi,187.5,10.2,14.2,3.8,2.1,42.0,Lauk Pauk,"Protein baik, sesuaikan tingkat pedas"
Telur Balado (1 Piring / Mangkok),1 piring,150.0,8.2,11.4,3.0,1.7,33.6,Lauk Pauk,"Protein baik, sesuaikan tingkat pedas"
Telur Balado Olahan Spesial,1 porsi spesial,162.5,8.8,12.3,3.2,1.8,36.4,Lauk Pauk,"Protein baik, sesuaikan tingkat pedas"
Telur Balado Porsi Cemilan,1 potong kecil,37.5,2.0,2.9,0.8,0.4,8.4,Lauk Pauk,"Protein baik, sesuaikan tingkat pedas"
Ikan Kembung Goreng,1 ekor (75g),160,16.5,9.0,0.0,1.2,110,Lauk Pauk,Kaya DHA & Omega-3 alami lokal
Ikan Kembung Goreng (Porsi Kecil),1/2 porsi,80.0,8.2,4.5,0.0,0.6,55.0,Lauk Pauk,Kaya DHA & Omega-3 alami lokal
Ikan Kembung Goreng (Porsi Besar),1.5 porsi,240.0,24.8,13.5,0.0,1.8,165.0,Lauk Pauk,Kaya DHA & Omega-3 alami lokal
Ikan Kembung Goreng (1 Piring / Mangkok),1 piring,192.0,19.8,10.8,0.0,1.4,132.0,Lauk Pauk,Kaya DHA & Omega-3 alami lokal
Ikan Kembung Goreng Olahan Spesial,1 porsi spesial,208.0,21.4,11.7,0.0,1.6,143.0,Lauk Pauk,Kaya DHA & Omega-3 alami lokal
Ikan Kembung Goreng Porsi Cemilan,1 potong kecil,48.0,5.0,2.7,0.0,0.4,33.0,Lauk Pauk,Kaya DHA & Omega-3 alami lokal
Ikan Pepes Bumbu Kuning,1 potong (100g),130,18.0,5.0,2.0,1.4,95,Lauk Pauk,"Sangat sehat, tinggi kalsium & protein"
Ikan Pepes Bumbu Kuning (Porsi Kecil),1/2 porsi,65.0,9.0,2.5,1.0,0.7,47.5,Lauk Pauk,"Sangat sehat, tinggi kalsium & protein"
Ikan Pepes Bumbu Kuning (Porsi Besar),1.5 porsi,195.0,27.0,7.5,3.0,2.1,142.5,Lauk Pauk,"Sangat sehat, tinggi kalsium & protein"
Ikan Pepes Bumbu Kuning (1 Piring / Mangkok),1 piring,156.0,21.6,6.0,2.4,1.7,114.0,Lauk Pauk,"Sangat sehat, tinggi kalsium & protein"
Ikan Pepes Bumbu Kuning Olahan Spesial,1 porsi spesial,169.0,23.4,6.5,2.6,1.8,123.5,Lauk Pauk,"Sangat sehat, tinggi kalsium & protein"
Ikan Pepes Bumbu Kuning Porsi Cemilan,1 potong kecil,39.0,5.4,1.5,0.6,0.4,28.5,Lauk Pauk,"Sangat sehat, tinggi kalsium & protein"
Ikan Bandeng Presto,1 potong (75g),175,17.0,10.0,1.0,1.5,180,Lauk Pauk,"Duri lunak, sangat tinggi kalsium"
Ikan Bandeng Presto (Porsi Kecil),1/2 porsi,87.5,8.5,5.0,0.5,0.8,90.0,Lauk Pauk,"Duri lunak, sangat tinggi kalsium"
Ikan Bandeng Presto (Porsi Besar),1.5 porsi,262.5,25.5,15.0,1.5,2.2,270.0,Lauk Pauk,"Duri lunak, sangat tinggi kalsium"
Ikan Bandeng Presto (1 Piring / Mangkok),1 piring,210.0,20.4,12.0,1.2,1.8,216.0,Lauk Pauk,"Duri lunak, sangat tinggi kalsium"
Ikan Bandeng Presto Olahan Spesial,1 porsi spesial,227.5,22.1,13.0,1.3,2.0,234.0,Lauk Pauk,"Duri lunak, sangat tinggi kalsium"
Ikan Bandeng Presto Porsi Cemilan,1 potong kecil,52.5,5.1,3.0,0.3,0.4,54.0,Lauk Pauk,"Duri lunak, sangat tinggi kalsium"
Ikan Lele Goreng,1 ekor (80g),175,14.0,11.0,2.0,0.9,35,Lauk Pauk,Protein terjangkau
Ikan Lele Goreng (Porsi Kecil),1/2 porsi,87.5,7.0,5.5,1.0,0.5,17.5,Lauk Pauk,Protein terjangkau
Ikan Lele Goreng (Porsi Besar),1.5 porsi,262.5,21.0,16.5,3.0,1.4,52.5,Lauk Pauk,Protein terjangkau
Ikan Lele Goreng (1 Piring / Mangkok),1 piring,210.0,16.8,13.2,2.4,1.1,42.0,Lauk Pauk,Protein terjangkau
Ikan Lele Goreng Olahan Spesial,1 porsi spesial,227.5,18.2,14.3,2.6,1.2,45.5,Lauk Pauk,Protein terjangkau
Ikan Lele Goreng Porsi Cemilan,1 potong kecil,52.5,4.2,3.3,0.6,0.3,10.5,Lauk Pauk,Protein terjangkau
Hati Sapi Tumis,1 potong (50g),110,14.0,4.0,2.5,6.5,8,Lauk Pauk,Super tinggi Zat Besi & Vit A. Konsumsi secukupnya (max 1x/minggu)
Hati Sapi Tumis (Porsi Kecil),1/2 porsi,55.0,7.0,2.0,1.2,3.2,4.0,Lauk Pauk,Super tinggi Zat Besi & Vit A. Konsumsi secukupnya (max 1x/minggu)
Hati Sapi Tumis (Porsi Besar),1.5 porsi,165.0,21.0,6.0,3.8,9.8,12.0,Lauk Pauk,Super tinggi Zat Besi & Vit A. Konsumsi secukupnya (max 1x/minggu)
Hati Sapi Tumis (1 Piring / Mangkok),1 piring,132.0,16.8,4.8,3.0,7.8,9.6,Lauk Pauk,Super tinggi Zat Besi & Vit A. Konsumsi secukupnya (max 1x/minggu)
Hati Sapi Tumis Olahan Spesial,1 porsi spesial,143.0,18.2,5.2,3.2,8.5,10.4,Lauk Pauk,Super tinggi Zat Besi & Vit A. Konsumsi secukupnya (max 1x/minggu)
Hati Sapi Tumis Porsi Cemilan,1 potong kecil,33.0,4.2,1.2,0.8,1.9,2.4,Lauk Pauk,Super tinggi Zat Besi & Vit A. Konsumsi secukupnya (max 1x/minggu)
Tempe Goreng Mendoan,1 potong (50g),135,6.0,9.5,7.0,1.4,50,Lauk Pauk Nabati,Tinggi folat alami
Tempe Goreng Mendoan (Porsi Kecil),1/2 porsi,67.5,3.0,4.8,3.5,0.7,25.0,Lauk Pauk Nabati,Tinggi folat alami
Tempe Goreng Mendoan (Porsi Besar),1.5 porsi,202.5,9.0,14.2,10.5,2.1,75.0,Lauk Pauk Nabati,Tinggi folat alami
Tempe Goreng Mendoan (1 Piring / Mangkok),1 piring,162.0,7.2,11.4,8.4,1.7,60.0,Lauk Pauk Nabati,Tinggi folat alami
Tempe Goreng Mendoan Olahan Spesial,1 porsi spesial,175.5,7.8,12.3,9.1,1.8,65.0,Lauk Pauk Nabati,Tinggi folat alami
Tempe Goreng Mendoan Porsi Cemilan,1 potong kecil,40.5,1.8,2.9,2.1,0.4,15.0,Lauk Pauk Nabati,Tinggi folat alami
Tempe Bacem,1 potong (50g),110,7.5,4.0,11.0,1.6,60,Lauk Pauk Nabati,Protein fermentasi baik untuk usus
Tempe Bacem (Porsi Kecil),1/2 porsi,55.0,3.8,2.0,5.5,0.8,30.0,Lauk Pauk Nabati,Protein fermentasi baik untuk usus
Tempe Bacem (Porsi Besar),1.5 porsi,165.0,11.2,6.0,16.5,2.4,90.0,Lauk Pauk Nabati,Protein fermentasi baik untuk usus
Tempe Bacem (1 Piring / Mangkok),1 piring,132.0,9.0,4.8,13.2,1.9,72.0,Lauk Pauk Nabati,Protein fermentasi baik untuk usus
Tempe Bacem Olahan Spesial,1 porsi spesial,143.0,9.8,5.2,14.3,2.1,78.0,Lauk Pauk Nabati,Protein fermentasi baik untuk usus
Tempe Bacem Porsi Cemilan,1 potong kecil,33.0,2.2,1.2,3.3,0.5,18.0,Lauk Pauk Nabati,Protein fermentasi baik untuk usus
